date,CPI,CCI,Web_Visits,Web_Visitors,Avg_Temp (C),Avg_Min (C),Avg_Max (C),Avg_Sum_Rainfall (mm),Google_Search_Trend,NPS Score,New Years Day,Good Friday,Easter Sunday,Easter Monday,May Bank Holiday,Spring Bank Holiday,Halloween,Guy Fawkes Day,Christmas Day,Boxing Day,October Holiday Dates A,October Holiday Dates C,Christmas Holiday Dates A,February Holiday Dates A,February Holiday Dates C,Easter Holiday Dates A,May Holiday Dates A,Summer Holiday Dates A
27/07/2015,0.1,101.4982,0,0,14.10171376,10.02271934,18.34392988,26.35668681,476,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,1
03/08/2015,0,101.484,0,0,16.30479243,11.89861329,20.73556602,5.980164835,483,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,1
10/08/2015,0,101.484,0,0,15.55139107,11.72608146,19.39191959,24.22839011,462,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,1
17/08/2015,0,101.484,0,0,16.81013431,12.89584424,21.01360544,24.74336813,455,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,1
24/08/2015,0,101.484,0,0,14.79689953,11.52104047,18.47651753,37.83971978,413,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,1
31/08/2015,0,101.484,0,0,12.37290686,9.084195011,16.15185854,16.24064835,371,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,1
07/09/2015,-0.1,101.4328,0,0,13.53848334,9.447649573,17.91845456,6.077857143,336,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0
14/09/2015,-0.1,101.4328,0,0,12.51430316,8.69405198,16.85217164,22.22081319,315,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0
21/09/2015,-0.1,101.4328,0,0,11.95507329,8.186142121,16.01015078,20.21881868,350,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0
28/09/2015,-0.1,101.4328,0,0,11.77452904,7.259702599,16.70543346,0.367741758,357,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0
05/10/2015,-0.1,101.4223,0,0,12.19365952,8.62244898,15.71869004,25.18786813,329,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0
12/10/2015,-0.1,101.4223,0,0,9.532618175,6.632042561,12.88066893,3.90839011,343,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0
